app_name,has_ad,type2_detected,type2_features,type3_detected,type3_features,type4_detected,type4_features,type5_detected,type5_features,type6_detected,type6_features,analysis_date
786A468B865B0EA88BB63B1460A4E0FE2A7B3C368E10654D37BCF822A90C60D4.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:39
777BB6A939BB21F0067600B86BE15ED323AA0475409B24E5B6497EB379EDD1AE.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:39
7A3FF5D164BF47963BB606E45244CA88B7AECA80E684CC08B1615AD9D25572D7.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:40
7B12B48E5386DEC0064FE2A6C6D26B1BE5C854B3CC37A15F135CE2EE935D23A9.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:40
7D754E32A4185F549BBF5E231260886A45EAE5ED7E7F3CBAD76FC9898D3BD47B.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:40
7E1ADA1959896C4FBCFCF3A7A70E15CFDC410A87854E335A31A89060612DA49D.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:40
78F1EA34656AEBE370B69672F8DA1BFDA00978826206B6D97675539CAE0AD279.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:39
7DC4434552700349C2615B23D679AC6264FECA118A5F118B7147150F6F618713.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:40
7E20B495B087E71E77BBD41A7593DCEA893EF5E439B161C010129199F7D3A7B8.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:40
7EA15FC0BF2220D0649B319B8FAC7502467DC66FEF101203AE6DB3386C5175F6.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:40
820D00928B8EDEA7AF9259E1EE0541A0EFFE59F30374D43C8860B2385008B48D.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:40
821EAD6416A152C3DE5C811177B893B5BDF534A292DC9D6D441F9E6C30031121.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:40
82E1973BBB0F5B0D302857ADA57823E123FA309741685D2F49C96EC8F2676D9A.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:41
830A50DE61B58306C78A99275C5AD6B15149D8EEF132C668259981E97CCF1FE2.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:41
83B62A789A5FE55220B2D11CE725B20CD3478871B85D280491A399F3938A959A.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:41
842716EC8D61DA6AB2F44A539CEAF775D781BC0361C342FFD63C357C12F84194.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:41
8490C0B3EC5946D5DE307FC31049967A92BEBEC18469392F95ACA8DB4A16E05A.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:41
85626AB5B75772F1EA6B20A6D2BC1A8356F863CFFD6D2126E379528F746864D4.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:41
86B690DC5465A6E3D03BF306E130DEE4D8889FDF1B05B20478D0BC74007141A1.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:41
87305E107A48255BE8EA9D71C2CB3772A499ABF10C95E55B4118A8E08B458587.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:41
873764DDCFD0D1F5EC6AB60BA9C0D8B81C409685F373D6D3609FD02E0F97DDBA.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:41
877CDDE32BA516402D69D1B45C00D2D976DE36AAD68E397F584DE0F595AEA3FC.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:41
879785B850693DDE4A188A3D7AF00793A79D484EF1DA573CE961FF271378D994.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:41
88193535968AB58C2CA1ACADF18BCAC0E6F7B18BE82008098FF7B444A3A17404.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:41
88765731C580F5BC48EAE97653CD73C1866743580FC459692FC2F6C84079C6AA.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:41
88CC96B168CCF9E3E775080341748166A8D897630B2FF0403C1073C226C64300.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:41
88E79DCAA5B00D6CA443CD51F728ED3A82D5F243F251350E47B51B4D4C1FB264.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:41
894A5A8B7F53F04344CEEDFC4115CF3EDBF5D85BC94F03E3867A7E635A7687F0.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:41
8982AD36D755BDF0C1D1690D7CED9B7A9B92B057EC1D8B662280F87C1800A742.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:41
89EC88FFC8E635C554DE5D58B70B7153147FE229695586AA9B36C6C9F229E99E.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:41
8A3F7E568F49FDD14FA11410AFDAB3D394B4A3CDFE2873A530BC71CA0EFE14CD.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:41
8AC3570089320F8143A62D4ADB73D4784A23586D90B3EA37962CC8261ADDF773.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:41
